,dice scores,precisions,recalls
0,0.8949974160618607,0.9364969288691591,0.8570198170166663
1,0.9072534270377298,0.9536253504464949,0.8651822259150257
2,0.9374816207543218,0.9674546527660739,0.90930998780489
3,0.9089245002209422,0.9358831769755411,0.8834754592385834
4,0.8482150328888499,0.8969593996690921,0.8044955235284066
5,0.9197416620930989,0.9884663606759183,0.8599521207915107
6,0.8579359323821154,0.8567746833434213,0.8591003335450875
7,0.9196584521580559,0.950925382446462,0.8903822133404163
8,0.9563529013298739,0.9542199849804417,0.958495374225801
9,0.9416218756052879,0.9598137283140088,0.9241067951184944
10,0.6939187045155504,0.9894828705050529,0.5343155947927914
11,0.8326503418923894,0.9695964667287738,0.7296012242760525
12,0.8652717881897932,0.9801125654602222,0.774520446714362
13,0.8540074062282581,0.9677077818952207,0.7642161814891325
14,0.632361486163699,0.9933836071169774,0.4638030695738074
15,0.8825739393287433,0.9770958614197939,0.8047266075502195
16,0.9066122375359387,0.968592350380317,0.8520872712732938
17,0.4378260225909427,0.6993316316970758,0.3186654032302659
18,0.49540874240622135,0.652119748399568,0.3994232695774727
19,0.2942965685101163,0.39968638824799463,0.23288828633093728
