,dice scores,precisions,recalls
0,0.030090450864915807,0.01529871483475905,0.9080167118720165
1,0.051615432429801704,0.02655626756246681,0.9155772937507148
2,0.10269642082298136,0.05431509905107422,0.9400363388906082
3,0.024700466067596162,0.012517074298967127,0.9265620491782887
4,0.014104577297453555,0.007108872545549882,0.8860086354707282
5,0.0804372619792993,0.04202413787165099,0.9361101365012469
6,0.016894268632617584,0.008529815432040497,0.8714504642580261
7,0.05798348238848998,0.029922790883331992,0.9317588731530899
8,0.302863207203705,0.17916357949939685,0.9783301503983624
9,0.06995673076878521,0.03631770460522115,0.9484781165973981
10,0.06358510284588975,0.06352318153314032,0.06364714499643945
11,0.07814863526728671,0.04666751074958665,0.240149448378241
12,0.19462444707185045,0.12788946003547697,0.4070089107978432
13,0.15172167531084657,0.09153180358156382,0.4430919781570448
14,0.2840905699367209,0.18632702084257394,0.5976928015673185
15,0.21468919035435852,0.13153067421411235,0.5837699841869642
16,0.24541462027989536,0.18100640013565936,0.3809803631655579
17,0.010199454880951433,0.005463647936764372,0.07656374290796897
18,0.003544965172692024,0.0018501734962899374,0.042210862384994656
19,0.0013961599262233679,0.0007145539951959541,0.030278915784625948
