,dice scores,precisions,recalls
0,0.9110968521177961,0.9103477926375191,0.9118471453078183
1,0.9258936969184117,0.9306676725767132,0.9211684487115553
2,0.9471353749640841,0.9445196392437685,0.949765638861614
3,0.9198490792890597,0.9079843218096444,0.9320280191073956
4,0.8743107414069201,0.867775831875973,0.8809448218953434
5,0.9407902858639112,0.9743572040454289,0.9094591272429131
6,0.8687071286354251,0.845103908160673,0.8936666766840583
7,0.9337460994739818,0.9224321881671119,0.9453409942545193
8,0.9583564390728689,0.9361698793516297,0.9816201375595677
9,0.9466843761695531,0.9322404569663099,0.9615829207574939
10,0.35610816558094965,0.9848355534371057,0.21735004774745376
11,0.8130611937836637,0.9725142269136886,0.6985304312385279
12,0.8387721943429013,0.9839963042884876,0.7309013625415789
13,0.8649184424094987,0.9756912280702039,0.7767338140885967
14,0.6708370511524229,0.9840688198891195,0.5088641992869962
15,0.9146474822482189,0.96816784741897,0.8667343648713554
16,0.8554196966735463,0.9752913038294804,0.7617893036019064
17,0.20625499852897738,0.9004263243029248,0.11646663983724312
18,0.2370320658044532,0.8081501457381125,0.13888342743055884
19,0.2475377492768683,0.6190925532901198,0.1546955898183983
